location_id,location_name,sales_agent_id,sales_agent_name,avg_quote_price,total_quote_qty,total_jobs_booked
1,New York,1121,William Christensen,0.96,4835900,8
1,New York,1122,Kaelyn Clements,0.75,772800,1
1,New York,1123,Alia Hart,0.92,7066900,9
1,New York,1124,Cierra Mccullough,1.24,5982900,6
1,New York,1125,Zaniyah Hall,1.02,1585500,3
1,New York,1126,Priscilla Foley,0.73,2355300,2
1,New York,1127,Brian Wheeler,1.16,1136300,2
1,New York,1128,Allan Stephens,1.15,1164300,2
1,New York,1129,Charlize Arnold,1.25,5207400,6
1,New York,1130,Jaquan Saunders,1.49,952600,1
1,New York,1131,Malik Haynes,1.02,3332700,6
1,New York,1132,Steve Deleon,0.95,2475600,4
1,New York,1133,Peyton Small,1.54,1138400,2
1,New York,1134,Santino Olson,0.99,6486200,10
1,New York,1135,Reagan Stafford,1.47,3218600,3
1,New York,1136,Kaden Mueller,1.13,1677000,2
1,New York,1137,Kamron Levine,0.94,3084500,4
1,New York,1138,Haley Mcclain,0.91,3536400,5
1,New York,1139,Bella Kelly,1.00,4989100,6
1,New York,1140,Lamar Molina,1.28,1445600,3
1,New York,1141,Jerry Fitzpatrick,1.34,2579700,4
1,New York,1142,Gracie Garrett,0.78,1785700,4
1,New York,1143,Peyton Wong,0.76,1423000,2
1,New York,1144,Kason Hines,1.14,1281300,2
1,New York,1145,Roland Frye,0.90,3298300,6
1,New York,1146,Laney Maddox,0.94,6562700,8
1,New York,1147,Grady Ramos,1.01,2449700,3
1,New York,1148,Irvin Villa,0.73,1238400,1
1,New York,1149,Sherlyn Maynard,1.09,6661500,9
1,New York,1150,Ean Chen,1.01,4433200,6
1,New York,1151,Addisyn Conway,0.77,1206300,2
1,New York,1152,Gabriela Owen,0.97,2045300,4
1,New York,1153,Brooklynn Orozco,1.23,3286100,5
1,New York,1154,Konnor Davies,1.23,3135600,5
1,New York,1155,Marshall Frederick,1.01,2576600,3
1,New York,1156,Emmalee Miles,0.79,171200,1
1,New York,1158,Kason Juarez,0.91,2975600,5
1,New York,1159,Lamont Sutton,0.78,1299500,3
1,New York,1160,Aniyah Cobb,0.95,2864700,4
1,New York,1161,Alfred Duncan,0.79,633200,2
1,New York,1162,Ayaan Holt,0.80,77300,1
1,New York,1163,George Green,0.97,2162700,4
1,New York,1164,Felix Frost,1.02,1774700,3
1,New York,1165,Octavio Coffey,0.78,1300300,3
1,New York,1166,Holly Stein,0.77,1428100,3
1,New York,1167,Steve Gonzales,0.77,3285000,6
1,New York,1168,Jackson Snow,0.77,1782300,3
1,New York,1169,Mario Friedman,0.75,868100,1
1,New York,1170,Antonio Allison,1.14,3123300,4
1,New York,1171,Beckett Howe,1.43,2665700,6
1,New York,1172,Andrew Stone,1.26,2091000,3
1,New York,1173,Dominick Briggs,1.24,1841700,5
1,New York,1174,Jamya Spence,0.76,2007900,3
